trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1097,False,"{'a': 0.5, 'e': 0.45715731259548575}",20,2,12.883642729969408,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1098,False,"{'a': 0.5, 'e': 0.45626769831431485}",20,0,-34.287297439487276,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1099,False,"{'a': 0.5, 'e': 0.45537762776548346}",25,19,6.03554241621984,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.5, 'e': 0.4544871018390625}",20,8,-44.53968343771548,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
1101,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,0,3.578693512343031,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1102,False,"{'a': 0.5, 'e': 0.4527046874160087}",25,0,-123.5424367612284,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
1103,False,"{'a': 0.5, 'e': 0.4518128007017902}",20,0,-13.723484536059368,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1104,False,"{'a': 0.5, 'e': 0.45092046217480886}",25,0,21.14982247249995,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1105,False,"{'a': 0.5, 'e': 0.45002767272740274}",20,11,-5.854686764435355,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1106,False,"{'a': 0.5, 'e': 0.4491344332523616}",25,0,-68.55668050154769,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
1107,False,"{'a': 0.5, 'e': 0.4482407446429244}",25,9,-17.224373199094835,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1108,False,"{'a': 0.5, 'e': 0.4473466077927801}",20,4,10.579768199283034,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.5, 'e': 0.4464520235960651}",20,6,-0.6034906656329284,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1110,False,"{'a': 0.5, 'e': 0.44555699294736395}",20,9,-14.311144137747322,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
1111,False,"{'a': 0.5, 'e': 0.44466151674170673}",20,5,-14.648301951858441,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
1112,False,"{'a': 0.5, 'e': 0.4437655958745701}",20,0,-32.98253717211171,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1113,False,"{'a': 0.5, 'e': 0.4428692312418743}",20,15,3.309300110548692,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.5, 'e': 0.44197242373998435}",35,23,12.229280458631434,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.5, 'e': 0.44107517426570736}",25,0,-57.62004163804136,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
1116,False,"{'a': 0.5, 'e': 0.440177483716293}",20,0,-61.490871456643625,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
1117,False,"{'a': 0.5, 'e': 0.43927935298943144}",30,4,-26.055377053637027,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
1118,False,"{'a': 0.5, 'e': 0.4383807829832537}",20,0,-70.59471294556971,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1119,False,"{'a': 0.5, 'e': 0.4374817745963293}",20,16,9.423898726507467,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.43658232872766695}",30,11,-38.76207152248751,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
1121,False,"{'a': 0.5, 'e': 0.43568244627671204}",25,4,-15.713631520243949,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
1122,False,"{'a': 0.5, 'e': 0.43478212814334743}",30,2,-88.44702468476035,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 1}",1
1123,False,"{'a': 0.5, 'e': 0.43388137522789066}",30,0,-63.96304323865648,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
